"list"	"premset"	"ss"	"item"	"rules"	"ruletype"
"137"	2	"posAnegC"	60	2	"cat"	3
"138"	2	"posAnegC"	61	2	"rest"	5
"139"	2	"posAnegC"	62	2	"cat"	3
"140"	2	"posAnegC"	63	2	"cat"	3
"141"	2	"posAnegC"	64	2	"cat"	3
"142"	2	"posAnegC"	65	2	"rest"	5
"143"	2	"posAnegC"	66	2	"cat"	3
"144"	2	"posAnegC"	67	2	"cat"	3
"145"	2	"posAnegC"	68	2	"cat"	3
"146"	2	"posAnegC"	69	2	"rest"	5
"147"	2	"posAnegC"	70	2	"cat"	3
"148"	2	"posAnegC"	71	2	"cat"	3
"149"	2	"posAnegC"	72	2	"cat"	3
"150"	2	"posAnegC"	73	2	"rest"	5
"151"	2	"posAnegC"	74	2	"cat"	3
"152"	2	"posAnegC"	75	2	"cat"	3
"153"	2	"posAnegC"	76	2	"cat"	3
"154"	2	"posAnegC"	77	2	"cat"	3
"155"	1	"posAnegC"	1	3	"cat"	3
"156"	1	"posAnegC"	2	3	"cat"	3
"157"	1	"posAnegC"	3	3	"sub"	2
"158"	1	"posAnegC"	4	3	"cat"	3
"159"	1	"posAnegC"	5	3	"cat"	3
"160"	1	"posAnegC"	6	3	"cat"	3
"161"	1	"posAnegC"	7	3	"rest"	5
"162"	1	"posAnegC"	8	3	"cat"	3
"163"	1	"posAnegC"	9	3	"cat"	3
"164"	1	"posAnegC"	10	3	"cat"	3
"165"	1	"posAnegC"	11	3	"cat"	3
"166"	1	"posAnegC"	12	3	"cat"	3
"167"	1	"posAnegC"	13	3	"cat"	3
"168"	1	"posAnegC"	14	3	"rest"	5
"169"	1	"posAnegC"	15	3	"rest"	5
"170"	1	"posAnegC"	16	3	"rest"	5
"171"	1	"posAnegC"	17	3	"cat"	3
"172"	1	"posAnegC"	18	3	"cat"	3
"173"	1	"posAnegC"	19	3	"cat"	3
"174"	1	"posAnegC"	20	3	"cat"	3
"175"	1	"posAnegC"	21	3	"cat"	3
"176"	1	"posAnegC"	22	3	"cat"	3
"177"	1	"posAnegC"	23	3	"cat"	3
